Polygenic Score (PGS) ID,Stage of PGS Development,Number of Individuals,Number of Cases,Number of Controls,Percent of Participants Who are Male,Sample Age,Broad Ancestry Category,"Ancestry (e.g. French, Chinese)",Country of Recruitment,Additional Ancestry Description,Phenotype Definitions and Methods,Followup Time,GWAS Catalog Study ID (GCST...),Source PubMed ID (PMID),Source DOI,Cohort(s),Additional Sample/Cohort Information
PGS000007,Score Development/Training,10444.0,5159.0,5285.0,0.0,,European,,,,Invasive breast cancer-affected,,,,,MCCS|HMBCS|LMBC|CGPS|BBCC|GENICA|ORIGO|PBCS|SEARCH|MCBCS|NBHS|CTS|ABCTB|BCEES|BCINIS|BREOGAN|CBCS|CCGP|CPSII|MISS|MMHS|SMC|UCIBCS|WHI|pKARMA,Validation Cohort
PGS000008,Source of Variant Associations (GWAS),87368.0,55391.0,31977.0,0.0,,European,,,,ER-positive breast cancer cases,,,,,ABCFS|MCCS|HMBCS|LMBC|MTLGEBCS|CGPS|KBCP|OBCS|CECILE|BBCC|BSUCH|ESTHER|GENICA|MARIE|SKKDKFZS|BIGGS|ABCS|ORIGO|SZBCS|PBCS|SASBAC|SBCS|SEARCH|MCBCS|NBHS|CTS|MEC|2SISTER|ABCTB|AOCS|BBCS|BCEES|BCFR-NY|BCFR-PA|BCFR-UTAH|BCINIS|BREOGAN|CBCS|CCGP|CNIO-BCS|CPSII|DIETCOMPLYF|GC-HBOC|GEPARSIXTO|GESBC|HEBCS|HUOCS|KARBAC|MABCS|MBCSG|MISS|MMHS|MSKCC|NBCS|NC-BCFR|OFBCR|POSH|PREFACE|RBCS|SMC|SUCCESSB|SUCCESSC|TNBCC|UCIBCS|UKOPS|WHI|pKARMA|HCSC,Training Cohort
PGS000008,Score Development/Training,5159.0,4233.0,926.0,0.0,,European,,,,ER-positive breast cancer cases,,,,,MCCS|HMBCS|LMBC|CGPS|BBCC|GENICA|ORIGO|PBCS|SEARCH|MCBCS|NBHS|CTS|ABCTB|BCEES|BCINIS|BREOGAN|CBCS|CCGP|CPSII|MISS|MMHS|SMC|UCIBCS|WHI|pKARMA,Validation Cohort
PGS000009,Source of Variant Associations (GWAS),87368.0,15404.0,71964.0,0.0,,European,,,,ER-negative breast cancer cases,,,,,ABCFS|MCCS|HMBCS|LMBC|MTLGEBCS|CGPS|KBCP|OBCS|CECILE|BBCC|BSUCH|ESTHER|GENICA|MARIE|SKKDKFZS|BIGGS|ABCS|ORIGO|SZBCS|PBCS|SASBAC|SBCS|SEARCH|MCBCS|NBHS|CTS|MEC|2SISTER|ABCTB|AOCS|BBCS|BCEES|BCFR-NY|BCFR-PA|BCFR-UTAH|BCINIS|BREOGAN|CBCS|CCGP|CNIO-BCS|CPSII|DIETCOMPLYF|GC-HBOC|GEPARSIXTO|GESBC|HEBCS|HUOCS|KARBAC|MABCS|MBCSG|MISS|MMHS|MSKCC|NBCS|NC-BCFR|OFBCR|POSH|PREFACE|RBCS|SMC|SUCCESSB|SUCCESSC|TNBCC|UCIBCS|UKOPS|WHI|HCSC|pKARMA,Training Cohort
PGS000009,Score Development/Training,5159.0,926.0,4233.0,0.0,,European,,,,ER-negative breast cancer cases,,,,,MCCS|HMBCS|LMBC|CGPS|BBCC|GENICA|ORIGO|PBCS|SEARCH|MCBCS|NBHS|CTS|ABCTB|BCEES|BCINIS|BREOGAN|CBCS|CCGP|CPSII|MISS|MMHS|SMC|UCIBCS|WHI|pKARMA,Validation Cohort
PGS000010,Source of Variant Associations (GWAS),86995.0,22233.0,64762.0,,,European,,NR,,,,GCST000998,,,PennCATH|WTCCC|ADVANCE|AtheroRemo|CADomics|CHARGE|deCODE|GerMIFS|LURIC|MedSTAR|MIGen|OHGS,
PGS000011,Source of Variant Associations (GWAS),41975.0,11202.0,30773.0,,,European,,,,,,,21966275,,PennCATH|ARIC|BHF-FHS|BLOODOMICS|MONICA|CARDIA|CHS|KORA|PROCARDIS|FOS,
PGS000011,Source of Variant Associations (GWAS),8653.0,4394.0,4259.0,,,South Asian,,,,,,,21966275,,PROMIS|LOLIPOP,
PGS000011,Source of Variant Associations (GWAS),194427.0,63746.0,130681.0,,,"European, South Asian",,,,,,,23202125,,HPS|HSIEA|ITH|METSIM|MORGAM|PIVUS|PMB|POPGEN|SCARFSHEEP|STR|ULSAM|EPIC|ADVANCE|LURIC|OHGS|WTCCC|PROCARDIS|PROMIS|LOLIPOP|AMC-PAS|Angio-Lueb|CARDIOGENICS|COROGENE|DILGOM|Duke|EGCUT|EMIL|FGENTCARD|FINCAVAS|FRISCII|GENRIC|GLACIER|GoDARTS|KORA,
PGS000011,Source of Variant Associations (GWAS),86995.0,,,,,European,,NR,,,,GCST000998,21378990,,,
PGS000011,Source of Variant Associations (GWAS),2520.0,,,,,European,,Germany,,,,GCST000338,19198612,,,
PGS000011,Source of Variant Associations (GWAS),14790.0,,,,,South Asian,"India, Pakistan","U.K., Pakistan",,,,GCST000999,21378988,,,
PGS000011,Source of Variant Associations (GWAS),15682.0,,,,,European,,"Sweden, Italy, Germany, U.K.",,,,GCST000999,21378988,,,
PGS000012,Source of Variant Associations (GWAS),194427.0,63746.0,130681.0,,,"European, South Asian",,,,,,,23202125,,HPS|HSIEA|ITH|METSIM|MORGAM|PIVUS|PMB|POPGEN|SCARFSHEEP|STR|ULSAM|EPIC|ADVANCE|LURIC|OHGS|PROCARDIS|PROMIS|LOLIPOP|AMC-PAS|Angio-Lueb|CARDIOGENICS|COROGENE|DILGOM|Duke|EGCUT|EMIL|FGENTCARD|FINCAVAS|FRISCII|GENRIC|GLACIER|GoDARTS|KORA,
PGS000012,Score Development/Training,1019.0,531.0,488.0,,,European,,,,"For MIGen, MI defined cases of early onset MI (men <50 years old, women <60 years old). MI was diagnosed from as one of: • Autopsy evidence of fatal MI  • Combination of chest pain with electrocardiographic evidence of MI • Elevation of one or more cardiac biomarkers (creatine kinase or cardiac troponin)",,GCST000340,,,MIGen,Harps subset
PGS000012,Score Development/Training,4864.0,1926.0,2938.0,,,European,,,,CAD in the WTCCC was defined as a validated history of either myocardial infarction or coronary revascularization (coronary artery bypass surgery or percutaneous coronary angioplasty) before their 66th birthday. Verification of the history of CAD was required either from hospital records or the primary care physician.,,GCST000045,,,WTCCC,Wellcome Trust Case/Control Consortium Coronary Artery Disease
PGS000013,Source of Variant Associations (GWAS),11323.0,,,,,East Asian,,"Republic of Korea, China",,,,GCST003116,26343387,,HPS|HSIEA|PIVUS|ULSAM|FHS|FINRISK|HSDS|BAS|CAS|CCGB|DUKE_2|SDS|TwinGene|LIFE-HEART|WGHS|MAYO-VDB|AGES|RS|FamHS|PROSPER|AIDHS|ADVANCE|GerMIFS|LURIC|MIGen|OHGS|PennCATH|WTCCC|ARIC|PROCARDIS|PROMIS|LOLIPOP|CARDIOGENICS|COROGENE|EGCUT|FGENTCARD|GENRIC|GoDARTS|MedSTAR|ITH|BioMe,
PGS000013,Source of Variant Associations (GWAS),25557.0,,,,,South Asian,,"India, U.K., Pakistan",,,,GCST003116,26343387,,HPS|HSIEA|PIVUS|ULSAM|FHS|FINRISK|HSDS|BAS|CAS|CCGB|DUKE_2|SDS|TwinGene|LIFE-HEART|WGHS|MAYO-VDB|AGES|RS|FamHS|PROSPER|AIDHS|ADVANCE|GerMIFS|LURIC|MIGen|OHGS|PennCATH|WTCCC|ARIC|PROCARDIS|PROMIS|LOLIPOP|CARDIOGENICS|COROGENE|EGCUT|FGENTCARD|GENRIC|GoDARTS|MedSTAR|ITH|BioMe,
PGS000013,Source of Variant Associations (GWAS),4095.0,,,,,Hispanic or Latin American,,U.S.,,,,GCST003116,26343387,,HPS|HSIEA|PIVUS|ULSAM|FHS|FINRISK|HSDS|BAS|CAS|CCGB|DUKE_2|SDS|TwinGene|LIFE-HEART|WGHS|MAYO-VDB|AGES|RS|FamHS|PROSPER|AIDHS|ADVANCE|GerMIFS|LURIC|MIGen|OHGS|PennCATH|WTCCC|ARIC|PROCARDIS|PROMIS|LOLIPOP|CARDIOGENICS|COROGENE|EGCUT|FGENTCARD|GENRIC|GoDARTS|MedSTAR|ITH|BioMe,
PGS000013,Source of Variant Associations (GWAS),141217.0,,,,,European,,"Finland, Sweden, U.S., Iceland, Italy, Netherlands, Greece, Germany, U.K., Spain, Estonia, NR, Republic of Ireland",,,,GCST003116,26343387,,HPS|HSIEA|PIVUS|ULSAM|FHS|FINRISK|HSDS|BAS|CAS|CCGB|DUKE_2|SDS|TwinGene|LIFE-HEART|WGHS|MAYO-VDB|AGES|RS|FamHS|PROSPER|AIDHS|ADVANCE|GerMIFS|LURIC|MIGen|OHGS|PennCATH|WTCCC|ARIC|PROCARDIS|PROMIS|LOLIPOP|CARDIOGENICS|COROGENE|EGCUT|FGENTCARD|GENRIC|GoDARTS|MedSTAR|ITH|BioMe,
PGS000013,Source of Variant Associations (GWAS),3139.0,,,,,African American or Afro-Caribbean,,U.S.,,,,GCST003116,26343387,,HPS|HSIEA|PIVUS|ULSAM|FHS|FINRISK|HSDS|BAS|CAS|CCGB|DUKE_2|SDS|TwinGene|LIFE-HEART|WGHS|MAYO-VDB|AGES|RS|FamHS|PROSPER|AIDHS|ADVANCE|GerMIFS|LURIC|MIGen|OHGS|PennCATH|WTCCC|ARIC|PROCARDIS|PROMIS|LOLIPOP|CARDIOGENICS|COROGENE|EGCUT|FGENTCARD|GENRIC|GoDARTS|MedSTAR|ITH|BioMe,
PGS000013,Source of Variant Associations (GWAS),2268.0,,,,,"Greater Middle Eastern (Middle Eastern, North African or Persian)",,NR,,,,GCST003116,26343387,,HPS|HSIEA|ITH|PIVUS|ULSAM|FHS|FINRISK|HSDS|BAS|CAS|DUKE_2|LIFE-HEART|WGHS|AGES|RS|FamHS|PROSPER|AIDHS|ADVANCE|LURIC|MIGen|OHGS|WTCCC|ARIC|PROCARDIS|PROMIS|LOLIPOP|COROGENE|EGCUT|FGENTCARD|GENRIC|GoDARTS|GerMIFS|MedSTAR|PennCATH|TwinGene|MAYO-VDB|CCGB|CARDIOGENICS|BioMe,
PGS000013,Score Development/Training,120280.0,3963.0,116317.0,,,European,,UK,,"CAD ascertainment was based on a composite of myocardial infarction or coronary revascularization. Myocardial infarction was based on self-report or hospital admission diagnosis, as performed centrally. This included individuals with ICD-9 codes of 410.X, 411.0, 412.X, or 429.79, or ICD-10 codes of I21.X, I22.X, I23.X, I24.1, or I25.2 in hospitalization records. Coronary revascularization was assessed based on an OPCS-4 coded procedure for coronary artery bypass grafting (K40.1–40.4, K41.1–41.4, or K45.1–45.5), or coronary angioplasty with or without stenting (K49.1–49.2, K49.8–49.9, K50.2, K75.1–75.4, or K75.8–75.9).",,,,,UKB,UKB Phase 1
PGS000014,Source of Variant Associations (GWAS),159208.0,,,,,European,,"France, Germany, Netherlands, Estonia, Finland, Sweden, U.K., NR, U.S.",White European,,,GCST004774,28566273,,DIAGRAM|GERA|EPIC,
PGS000014,Source of Variant Associations (GWAS),159208.0,,,,,European,,"U.S., France, Germany, Netherlands, Estonia, Finland, Sweden, U.K., NR",White European,,,GCST004773,28566273,,DIAGRAM|GERA|EPIC,
PGS000014,Score Development/Training,120280.0,2785.0,117495.0,,,European,,UK,,Type 2 diabetes ascertainment was based on self-report in an interview with a trained nurse or an ICD-10 code of E11.X in hospitalization records.,,,,,UKB,UKB Phase 1
PGS000015,Source of Variant Associations (GWAS),139274.0,,,,,European,,"Canada, U.S., Australia, Belgium, France, Germany, Netherlands, Israel, Belarus, Poland, Russian Federation, Denmark, Finland, Norway, Sweden, U.K., Greece, Italy, Spain, The former Yugoslav Republic of Macedonia, NR",,,,GCST004988,29059683,,,
PGS000015,Score Development/Training,63347.0,2576.0,60771.0,0.0,,European,,UK,,"Breast cancer ascertainment was based on self-report in an interview with a trained nurse, ICD-9 codes (174 or 174.9) or ICD-10 codes (C50.X) in hospitalization records, or a breast cancer diagnosis reported to the national registry before the date of enrollment.",,,,,UKB,UKB Phase 1
PGS000016,Source of Variant Associations (GWAS),5875.0,,,,,African American or Afro-Caribbean,,"U.S., NR",,,,GCST004295,28416818,,,
PGS000016,Source of Variant Associations (GWAS),4130.0,,,,,East Asian,Japanese,Japan,,,,GCST004295,28416818,,,
PGS000016,Source of Variant Associations (GWAS),118755.0,,,,,European,,"U.S., Germany, Netherlands, Switzerland, Finland, Sweden, U.K., NR",,,,GCST004295,28416818,,,
PGS000016,Source of Variant Associations (GWAS),3358.0,,,,,Hispanic or Latin American,,"U.S., Brazil",,,,GCST004295,28416818,,,
PGS000016,Score Development/Training,120280.0,2024.0,118256.0,,,European,,UK,,"Atrial fibrillation ascertainment was based on self-report of atrial fibrillation, atrial flutter, or cardioversion in an interview with a trained nurse, an ICD-9 code of 427.3 or ICD-10 code of I48.X in hospitalization records, or a history of a percutaneous ablation or cardioversion based on the OPCS-4 coded procedure (K57.1, K62.1, K62.2, K62.3, or K 62.4), as performed previously",,,,,UKB,UKB Phase 1
PGS000017,Source of Variant Associations (GWAS),34652.0,,,,,European,,NR,,,,GCST003043,26192919,,,
PGS000017,Score Development/Training,120280.0,1360.0,118920.0,,,European,,UK,,"Inflammatory bowel disease ascertainment was based on report in an interview with a trained nurse, or an ICD-9 code of 555.X or ICD-10 code of K51.X in hospitalization records.",,,,,UKB,UKB Phase 1
PGS000018,Source of Variant Associations (GWAS),11323.0,,,,,East Asian,,"Republic of Korea, China",,,,GCST003116,26343387,,HPS|HSIEA|PIVUS|ULSAM|FHS|FINRISK|HSDS|BAS|CAS|CCGB|DUKE_2|SDS|TwinGene|LIFE-HEART|WGHS|MAYO-VDB|AGES|RS|FamHS|PROSPER|AIDHS|ADVANCE|GerMIFS|LURIC|MIGen|OHGS|PennCATH|WTCCC|ARIC|PROCARDIS|PROMIS|LOLIPOP|CARDIOGENICS|COROGENE|EGCUT|FGENTCARD|GENRIC|GoDARTS|MedSTAR|ITH|BioMe,
PGS000018,Source of Variant Associations (GWAS),25557.0,,,,,South Asian,,"India, U.K., Pakistan",,,,GCST003116,26343387,,HPS|HSIEA|PIVUS|ULSAM|FHS|FINRISK|HSDS|BAS|CAS|CCGB|DUKE_2|SDS|TwinGene|LIFE-HEART|WGHS|MAYO-VDB|AGES|RS|FamHS|PROSPER|AIDHS|ADVANCE|GerMIFS|LURIC|MIGen|OHGS|PennCATH|WTCCC|ARIC|PROCARDIS|PROMIS|LOLIPOP|CARDIOGENICS|COROGENE|EGCUT|FGENTCARD|GENRIC|GoDARTS|MedSTAR|ITH|BioMe,
PGS000018,Source of Variant Associations (GWAS),4095.0,,,,,Hispanic or Latin American,,U.S.,,,,GCST003116,26343387,,HPS|HSIEA|PIVUS|ULSAM|FHS|FINRISK|HSDS|BAS|CAS|CCGB|DUKE_2|SDS|TwinGene|LIFE-HEART|WGHS|MAYO-VDB|AGES|RS|FamHS|PROSPER|AIDHS|ADVANCE|GerMIFS|LURIC|MIGen|OHGS|PennCATH|WTCCC|ARIC|PROCARDIS|PROMIS|LOLIPOP|CARDIOGENICS|COROGENE|EGCUT|FGENTCARD|GENRIC|GoDARTS|MedSTAR|ITH|BioMe,
PGS000018,Source of Variant Associations (GWAS),141217.0,,,,,European,,"Finland, Sweden, U.S., Iceland, Italy, Netherlands, Greece, Germany, U.K., Spain, Estonia, NR, Republic of Ireland",,,,GCST003116,26343387,,HPS|HSIEA|PIVUS|ULSAM|FHS|FINRISK|HSDS|BAS|CAS|CCGB|DUKE_2|SDS|TwinGene|LIFE-HEART|WGHS|MAYO-VDB|AGES|RS|FamHS|PROSPER|AIDHS|ADVANCE|GerMIFS|LURIC|MIGen|OHGS|PennCATH|WTCCC|ARIC|PROCARDIS|PROMIS|LOLIPOP|CARDIOGENICS|COROGENE|EGCUT|FGENTCARD|GENRIC|GoDARTS|MedSTAR|ITH|BioMe,
PGS000018,Source of Variant Associations (GWAS),3139.0,,,,,African American or Afro-Caribbean,,U.S.,,,,GCST003116,26343387,,HPS|HSIEA|PIVUS|ULSAM|FHS|FINRISK|HSDS|BAS|CAS|CCGB|DUKE_2|SDS|TwinGene|LIFE-HEART|WGHS|MAYO-VDB|AGES|RS|FamHS|PROSPER|AIDHS|ADVANCE|GerMIFS|LURIC|MIGen|OHGS|PennCATH|WTCCC|ARIC|PROCARDIS|PROMIS|LOLIPOP|CARDIOGENICS|COROGENE|EGCUT|FGENTCARD|GENRIC|GoDARTS|MedSTAR|ITH|BioMe,
PGS000018,Source of Variant Associations (GWAS),2268.0,,,,,"Greater Middle Eastern (Middle Eastern, North African or Persian)",,NR,,,,GCST003116,26343387,,HPS|HSIEA|ITH|PIVUS|ULSAM|FHS|FINRISK|HSDS|BAS|CAS|DUKE_2|LIFE-HEART|WGHS|AGES|RS|FamHS|PROSPER|AIDHS|ADVANCE|LURIC|MIGen|OHGS|WTCCC|ARIC|PROCARDIS|PROMIS|LOLIPOP|COROGENE|EGCUT|FGENTCARD|GENRIC|GoDARTS|GerMIFS|MedSTAR|PennCATH|TwinGene|MAYO-VDB|CCGB|CARDIOGENICS|BioMe,
PGS000018,Source of Variant Associations (GWAS),194427.0,63746.0,130681.0,,,"European, South Asian",,,,,,,23202125,,HPS|HSIEA|ITH|METSIM|MORGAM|PIVUS|PMB|POPGEN|SCARFSHEEP|STR|ULSAM|EPIC|ADVANCE|LURIC|OHGS|WTCCC|PROCARDIS|PROMIS|LOLIPOP|AMC-PAS|Angio-Lueb|CARDIOGENICS|COROGENE|DILGOM|Duke|EGCUT|EMIL|FGENTCARD|FINCAVAS|FRISCII|GENRIC|GLACIER|GoDARTS|KORA,
PGS000018,Score Development/Training,3000.0,1000.0,2000.0,,,"European, NR",,UK,"~95% European ancestry samples, <5% non-European ancestry","CAD was defined as fatal or nonfatal myocardial infarction (MI) cases, percutaneous transluminal coronary angioplasty (PTCA), or coronary artery bypass grafting (CABG). Prevalent versus incident status was relative to the UKB enrollment assessment. In UKB self-reported data, cases were defined as having had a heart attack diagnosed by a doctor (data field #6150); “non-cancer illnesses that self-reported as heart attack” (data field #20002); or self-reported operation including PTCA, CABG, or triple heart bypass (data field #20004). In HES hospital episodes data and death registry data, MI was defined as hospital admission or cause of death due to ICD-9 410 to 412, or ICD-10 I21 to I24 or I25.2; CABG and PTCA were defined as hospital admission OPCS-4 K40 to K46, K49, K50.1,or K75.",,,,,UKB,
PGS000019,Source of Variant Associations (GWAS),11323.0,,,,,East Asian,,"Republic of Korea, China",,,,GCST003116,26343387,,HPS|HSIEA|PIVUS|ULSAM|FHS|FINRISK|HSDS|BAS|CAS|CCGB|DUKE_2|SDS|TwinGene|LIFE-HEART|WGHS|MAYO-VDB|AGES|RS|FamHS|PROSPER|AIDHS|ADVANCE|GerMIFS|LURIC|MIGen|OHGS|PennCATH|WTCCC|ARIC|PROCARDIS|PROMIS|LOLIPOP|CARDIOGENICS|COROGENE|EGCUT|FGENTCARD|GENRIC|GoDARTS|MedSTAR|ITH|BioMe,
PGS000019,Source of Variant Associations (GWAS),25557.0,,,,,South Asian,,"India, U.K., Pakistan",,,,GCST003116,26343387,,HPS|HSIEA|PIVUS|ULSAM|FHS|FINRISK|HSDS|BAS|CAS|CCGB|DUKE_2|SDS|TwinGene|LIFE-HEART|WGHS|MAYO-VDB|AGES|RS|FamHS|PROSPER|AIDHS|ADVANCE|GerMIFS|LURIC|MIGen|OHGS|PennCATH|WTCCC|ARIC|PROCARDIS|PROMIS|LOLIPOP|CARDIOGENICS|COROGENE|EGCUT|FGENTCARD|GENRIC|GoDARTS|MedSTAR|ITH|BioMe,
PGS000019,Source of Variant Associations (GWAS),141217.0,,,,,European,,"Finland, Sweden, U.S., Iceland, Italy, Netherlands, Greece, Germany, U.K., Spain, Estonia, NR, Republic of Ireland",,,,GCST003116,26343387,,HPS|HSIEA|PIVUS|ULSAM|FHS|FINRISK|HSDS|BAS|CAS|CCGB|DUKE_2|SDS|TwinGene|LIFE-HEART|WGHS|MAYO-VDB|AGES|RS|FamHS|PROSPER|AIDHS|ADVANCE|GerMIFS|LURIC|MIGen|OHGS|PennCATH|WTCCC|ARIC|PROCARDIS|PROMIS|LOLIPOP|CARDIOGENICS|COROGENE|EGCUT|FGENTCARD|GENRIC|GoDARTS|MedSTAR|ITH|BioMe,
PGS000019,Source of Variant Associations (GWAS),2268.0,,,,,"Greater Middle Eastern (Middle Eastern, North African or Persian)",,NR,Multi-ancestry meta-analysis,,,GCST003116,26343387,,HPS|HSIEA|PIVUS|ULSAM|FHS|FINRISK|HSDS|BAS|CAS|CCGB|DUKE_2|SDS|TwinGene|LIFE-HEART|WGHS|MAYO-VDB|AGES|RS|FamHS|PROSPER|AIDHS|ADVANCE|GerMIFS|LURIC|MIGen|OHGS|PennCATH|WTCCC|ARIC|PROCARDIS|PROMIS|LOLIPOP|CARDIOGENICS|COROGENE|EGCUT|FGENTCARD|GENRIC|GoDARTS|MedSTAR|ITH|BioMe,
PGS000019,Source of Variant Associations (GWAS),4095.0,,,,,Hispanic or Latin American,,U.S.,Multi-ancestry meta-analysis,,,GCST003116,26343387,,HPS|HSIEA|PIVUS|ULSAM|FHS|FINRISK|HSDS|BAS|CAS|CCGB|DUKE_2|SDS|TwinGene|LIFE-HEART|WGHS|MAYO-VDB|AGES|RS|FamHS|PROSPER|AIDHS|ADVANCE|GerMIFS|LURIC|MIGen|OHGS|PennCATH|WTCCC|ARIC|PROCARDIS|PROMIS|LOLIPOP|CARDIOGENICS|COROGENE|EGCUT|FGENTCARD|GENRIC|GoDARTS|ITH|MedSTAR|BioMe,
